location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Narrabri,North-west Slopes,AU,2019-04-04T14:00:00.000Z,2019-04-05T01:00:00+11:00,so2,0.08800000000000001,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-04T14:00:00.000Z,2019-04-05T01:00:00+11:00,so2,0.107,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-04T14:00:00.000Z,2019-04-05T01:00:00+11:00,pm10,3.4,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T14:00:00.000Z,2019-04-05T01:00:00+11:00,o3,0.016,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-04T12:00:00.000Z,2019-04-04T23:00:00+11:00,pm10,2.8,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-04T12:00:00.000Z,2019-04-04T23:00:00+11:00,pm10,3.7,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T12:00:00.000Z,2019-04-04T23:00:00+11:00,o3,0.022000000000000002,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T12:00:00.000Z,2019-04-04T23:00:00+11:00,no2,0.003,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T12:00:00.000Z,2019-04-04T23:00:00+11:00,pm10,7.5,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T12:00:00.000Z,2019-04-04T23:00:00+11:00,pm25,2.2,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-04T12:00:00.000Z,2019-04-04T23:00:00+11:00,so2,0.08800000000000001,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-04T12:00:00.000Z,2019-04-04T23:00:00+11:00,so2,0.109,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-04T11:00:00.000Z,2019-04-04T22:00:00+11:00,pm10,2.9,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-04T11:00:00.000Z,2019-04-04T22:00:00+11:00,so2,0.109,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-04T11:00:00.000Z,2019-04-04T22:00:00+11:00,pm10,4,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T11:00:00.000Z,2019-04-04T22:00:00+11:00,o3,0.022000000000000002,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T11:00:00.000Z,2019-04-04T22:00:00+11:00,no2,0.002,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T11:00:00.000Z,2019-04-04T22:00:00+11:00,pm10,7.8,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T11:00:00.000Z,2019-04-04T22:00:00+11:00,pm25,2.4,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-04T11:00:00.000Z,2019-04-04T22:00:00+11:00,so2,0.087,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-04T10:00:00.000Z,2019-04-04T21:00:00+11:00,pm10,3.9,µg/m³,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T10:00:00.000Z,2019-04-04T21:00:00+11:00,o3,0.02,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-04T10:00:00.000Z,2019-04-04T21:00:00+11:00,pm10,2.8,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Tamworth,North-west Slopes,AU,2019-04-04T10:00:00.000Z,2019-04-04T21:00:00+11:00,so2,0.11,ppm,-31.1105556,150.9141667,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T10:00:00.000Z,2019-04-04T21:00:00+11:00,no2,0.001,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T10:00:00.000Z,2019-04-04T21:00:00+11:00,pm10,8.2,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T10:00:00.000Z,2019-04-04T21:00:00+11:00,pm25,2.6,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-04T10:00:00.000Z,2019-04-04T21:00:00+11:00,so2,0.086,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Narrabri,North-west Slopes,AU,2019-04-04T09:00:00.000Z,2019-04-04T20:00:00+11:00,pm10,3,µg/m³,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T09:00:00.000Z,2019-04-04T20:00:00+11:00,no2,0.001,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
Gunnedah,North-west Slopes,AU,2019-04-04T09:00:00.000Z,2019-04-04T20:00:00+11:00,o3,0.02,ppm,,,"[{""name"":""NSW - Office of Environment & Heritage"",""url"":""http://www.environment.nsw.gov.au/""}]"
